Transaction ID,Items
1000,"Knife,Blender,Oven"
1001,"Pan,Knife,Kettle,Blender"
1002,"Laptop,Mobile,Headphone,Printer"
1003,"Mobile,Laptop"
1004,"Hoodie,Pants,Sock,Jackets"
1005,"Headphone,Mobile"
1006,"Laptop,Printer,Headphone"
1007,"Calculator,Pen,Pencil"
1008,"Pen,Eraser"
1009,"Marker,Calculator"
1010,"Pen,Pencil"
1011,"Jackets,Pants,Sock"
1012,"Hoodie,Jeans"
1013,"Sock,Pants,Hoodie"
1014,"Printer,Mobile,Scanner,Laptop"
1015,"Kettle,Pan,Oven"
1016,"Marker,Pencil,Pen,Calculator"
1017,"Blender,Knife,Kettle"
1018,"Eraser,Pencil"
1019,"Headphone,Mobile,Scanner"
