Transaction ID,Items
1000,"Eraser,Scanner,Jeans,Sunglass,Knife,Soap"
1001,"Lotion,Umbrella,Soap,Hoodie,Razor,Headphone,Watch"
1002,"Jackets,Pan,Watch,Knife,Sunglass,Deodorant,Scanner"
1003,"Kettle,Hoodie,Eraser,Pen,Lotion,Marker,Laptop,Pants,Oven"
1004,"Sock,Wallet,Watch,Lotion,Jackets,Calculator,Shampoo,Tissue,Headphone"
1005,"Lotion,Knife,Oven,Deodorant,Marker,Pen,Shampoo,Mobile,Tissue,Soap,Pencil"
1006,"Scanner,Umbrella,Printer,Soap,Watch,Mobile,Hoodie,Pants,Knife"
1007,"Oven,Sock,Pen,Watch,Lotion,Sunglass,Eraser,Mobile,Jackets,Marker,Scanner,Hoodie"
1008,"Pan,Kettle,Hoodie,Printer,Headphone,Blender,Marker,Laptop,Eraser,Pencil"
1009,"Pants,Umbrella,Soap,Tissue,Kettle,Marker,Sock,Laptop,Jackets,Knife,Pan,Eraser"
1010,"Sock,Oven,Deodorant,Hoodie,Printer,Jeans,Knife"
1011,"Headphone,Hoodie,Laptop,Mobile,Oven,Scanner"
1012,"Soap,Hoodie,Jackets,Knife,Razor,Umbrella,Eraser,Wallet,Marker"
1013,"Hoodie,Deodorant,Oven,Knife,Mobile,Blender,Calculator,Pan"
1014,"Tissue,Eraser,Scanner,Pencil,Lotion,Hoodie"
1015,"Pencil,Oven,Blender,Pants"
1016,"Jeans,Sunglass,Watch,Razor,Kettle"
1017,"Kettle,Deodorant,Knife,Wallet,Watch,Eraser,Laptop"
1018,"Headphone,Soap,Marker,Jeans,Deodorant,Hoodie,Razor,Printer,Mobile,Sunglass,Pan"
1019,"Mobile,Lotion,Oven,Shampoo,Deodorant,Printer,Eraser,Watch,Scanner,Sock"
