Transaction ID,Items
1000,"Deodorant,Lotion"
1001,"Kettle,Oven,Knife"
1002,"Oven,Knife,Blender"
1003,"Deodorant,Lotion,Razor"
1004,"Pen,Pencil"
1005,"Razor,Shampoo,Lotion,Deodorant"
1006,"Calculator,Pencil,Pen"
1007,"Jeans,Pants,Hoodie"
1008,"Pencil,Pen"
1009,"Marker,Pen,Calculator,Eraser"
1010,"Shampoo,Lotion,Soap"
1011,"Calculator,Pencil,Pen,Eraser"
1012,"Oven,Kettle,Knife,Pan"
1013,"Blender,Oven"
1014,"Oven,Kettle,Blender,Knife"
1015,"Pants,Jackets"
1016,"Shampoo,Razor,Deodorant"
1017,"Shampoo,Deodorant,Razor,Lotion"
1018,"Shampoo,Razor,Lotion"
1019,"Calculator,Marker,Pen"
